,FID,T7590,T9000,T0015
1232,1232,3,3,6
1233,1233,3,3,3
1234,1234,6,9,6
1235,1235,3,3,3
1236,1236,3,3,3
1237,1237,3,3,6
1238,1238,6,6,3
1239,1239,3,3,6
1240,1240,2,9,3
1241,1241,3,3,3
1242,1242,1,9,5
1243,1243,2,3,3
1244,1244,2,3,3
1245,1245,2,3,3
1246,1246,3,3,9
1247,1247,2,3,9
1248,1248,3,3,3
1249,1249,5,3,6
1250,1250,6,9,9
1251,1251,3,3,3
1252,1252,3,3,6
1253,1253,3,6,9
1254,1254,1,9,3
1255,1255,2,3,3
1256,1256,1,3,5
1257,1257,5,3,9
1258,1258,2,3,3
1259,1259,2,3,3
1260,1260,2,3,3
1261,1261,2,3,3
1262,1262,2,3,3
1263,1263,2,3,9
1264,1264,2,1,3
1265,1265,2,6,6
1266,1266,3,3,6
1267,1267,2,3,3
1268,1268,2,9,6
1269,1269,2,3,6
1270,1270,2,3,3
1271,1271,2,3,6
1272,1272,2,6,6
1273,1273,2,3,6
1274,1274,2,9,3
1275,1275,2,9,3
1276,1276,5,3,3
1277,1277,2,3,3
1278,1278,6,9,9
1279,1279,1,9,3
1280,1280,5,9,9
1281,1281,5,9,9
1282,1282,2,9,9
1283,1283,5,9,9
1284,1284,2,3,3
1285,1285,5,9,9
1286,1286,9,9,9
1287,1287,9,9,9
1288,1288,3,3,3
1289,1289,9,9,9
1290,1290,3,3,9
1291,1291,3,9,9
1292,1292,9,9,9
1293,1293,3,3,6
1294,1294,3,3,3
1295,1295,9,9,9
1296,1296,6,9,9
1297,1297,3,3,9
1298,1298,5,6,9
1299,1299,3,3,9
1300,1300,6,3,9
1301,1301,6,6,9
1302,1302,6,3,9
1303,1303,3,3,3
1304,1304,9,9,9
1305,1305,3,9,9
1306,1306,9,9,9
1307,1307,6,3,9
1308,1308,5,3,9
1309,1309,1,2,1
1310,1310,1,5,1
1311,1311,1,5,1
1312,1312,1,2,2
1313,1313,1,2,1
1314,1314,1,2,2
1315,1315,1,5,1
1316,1316,1,5,1
1317,1317,1,2,1
1318,1318,1,2,1
1319,1319,1,3,1
1320,1320,1,2,1
1321,1321,1,2,1
1322,1322,1,2,2
